canonical_company_id,company,parent_company_id,aliases_entities,region,locations,archetype,why_test,career_url,source_strategy,rating,notes
cez-group,ČEZ Group,,ČEZ; ČEZ Prodej; ČEZ ESCO; ČEZ Trading,Czechia,Prague and Czech Republic,Energy / Treasury / Trading,"Direct fit for commodity risk, hedging, treasury, trading analytics and corporate finance.",https://www.kdejinde.cz/,Group portal with member-company pages,Unrated,
eph-group,EPH,,Energetický a průmyslový holding; EP Infrastructure,Czechia,Prague and European portfolio,Energy / Investment Group,"High-potential intersection of energy, financing, treasury, investments and portfolio companies.",https://www.epholding.cz/,Fragmented group; map portfolio-company sources under one parent,Unrated,
ppf-group,PPF Group,,PPF; PPF banka; Air Bank; Home Credit,Czechia,Prague and international,Investment Group / Financial Services,"Relevant for investment analysis, corporate finance, portfolio-company work and group finance.",https://www.ppf.eu/en/careers,Group aggregator with child-company openings,Unrated,
kkcg,KKCG,,KKCG; Allwyn; MND,Czechia,Prague; Lucerne; London,Investment Group / Energy,"Useful test of investment-group, corporate-development and group-finance interest across multiple countries.",https://kkcg.com/en/careers,Global group portal with country views,Unrated,
jt-finance-group,J&T Finance Group,,J&T; J&T Banka,Czechia,Prague and Central Europe,Banking / Investments,"Potential fit for investments, markets, treasury and private-banking analytics; client-heavy roles should be penalized.",https://www.jtfg.com/,Fragmented group and local-bank sources to map,Unrated,
erste-group,Erste Group,,Erste Group; Česká spořitelna,Austria,Vienna; Prague; Central Europe,Banking / Treasury / Risk,"Broad internal mobility across treasury, ALM, risk, finance, markets and analytics.",https://www.erstegroup.com/en/career,Global parent plus local bank portals,Unrated,
allianz-group,Allianz Group,,Allianz; AllianzGI; PIMCO,Germany,Munich; Frankfurt; global,Insurance / Asset Management,"Tests appetite for investment management, group treasury, risk and insurer balance-sheet roles.",https://careers.allianz.com/global/en,Global canonical portal with country and subsidiary views,Unrated,
munich-re,Munich Re Group,,Munich Re; MEAG; ERGO,Germany,Munich and global,Reinsurance / Investments / Risk,"Strong analytical fit across financial risk, investments, valuation, treasury and asset-management subsidiary MEAG.",https://careers.munichre.com/en/munichre,Global group portal; retain MEAG and ERGO as child entities,Unrated,
siemens,Siemens,,Siemens AG; Siemens Financial Services,Germany,Munich; Berlin; Frankfurt; global,Industrial / Corporate Finance,"Good test of corporate treasury, finance excellence, risk, valuation and internal strategic-finance roles.",https://www.siemens.com/de-de/company/jobs/,Global portal with country filters and multiple business units,Unrated,
deutsche-boerse,Deutsche Börse Group,,Deutsche Börse; Eurex; Clearstream,Germany,Frankfurt and international,Market Infrastructure / Data,"High conceptual fit for markets, valuation, risk, data and financial-infrastructure roles without pure sales focus.",https://careers.deutsche-boerse.com/,Group portal with multiple legal entities,Unrated,
dws,DWS Group,,DWS; DWS Investments,Germany,Frankfurt; London; global,Asset Management,"Direct test of asset-management, portfolio analytics, risk and investment-research interest.",https://www.dws.com/en-us/about-us/careers/,Global parent portal; map regional job-board endpoints,Unrated,
omv,OMV Group,,OMV; Borealis,Austria,Vienna and international,Energy / Treasury / Risk,"Strong fit for commodity exposure, hedging, treasury, corporate finance and energy-transition economics.",https://careers.omv.com/?locale=en_US,Global group portal; keep Borealis as child entity,Unrated,
rbi,Raiffeisen Bank International,,RBI; Raiffeisen Bank subsidiaries,Austria,Vienna and Central Europe,Banking / Treasury / Risk,"Tests Vienna banking roles across treasury, ALM, risk, markets, valuation and group finance.",https://jobs.rbinternational.com/,Global parent portal with company filters,Unrated,
ubs,UBS Group,,UBS; Credit Suisse legacy entities,Switzerland,Zurich and global,Banking / Asset Management,"Broad opportunity set in investments, risk, treasury, research and analytics; filter out client-coverage-heavy roles.",https://www.ubs.com/global/en/careers/search-jobs.html,Global canonical portal; resolve legacy employer aliases to UBS,Unrated,
swiss-re,Swiss Re,,Swiss Re Group,Switzerland,Zurich and global,Reinsurance / Investments / Risk,"Strong domain fit for financial risk, investment management, treasury, valuation and quantitative analytics.",https://www.swissre.com/careers/jobSearch.html,Global portal with location and job-family filters,Unrated,
partners-group,Partners Group,,Partners Group AG,Switzerland,Zug; London; global,Private Markets,"Stretch test for PE, portfolio, fund analytics and private-markets operations; multiple current role families fit different seniority levels.",https://jobs.partnersgroup.com/,Global portal; one parent across Zug and London,Unrated,
six-group,SIX Group,,SIX; Swiss Exchange,Switzerland,Zurich and international,Market Infrastructure / Financial Data,"Strong test of market infrastructure, pricing data, risk, analytics and finance-technology interest.",https://www.six-group.com/en/careers.html,Global canonical portal with country filters,Unrated,
