submission_id,requested_at,status,completed_at,message
bed04c674e6f5320,2026-08-24T12:15:00+00:00,done,2026-08-24T12:14:06.762017+00:00,Existing curated salary research kept; zero-cost refresh not applied.
af778c24f3a6ccf4,2026-08-26T21:50:29.425151+00:00,done,2026-08-26T21:51:35.727726+00:00,Existing curated salary research kept; zero-cost refresh not applied.
45ce9291e5573afa,2026-08-26T21:58:11.424797+00:00,done,2026-08-26T21:58:31.157929+00:00,Existing curated salary research kept; zero-cost refresh not applied.
39a2cf46b384edeb,2026-08-29T16:46:25.143565+00:00,needs_review,2026-08-29T16:46:50.596236+00:00,Needs ChatGPT review
572975b304c637c9,2026-08-29T19:30:26.343173+00:00,needs_review,2026-08-29T19:37:33.915180+00:00,EUR 70k-80k gross/year | target ~EUR 70k
4846899c214ec7a1,2026-08-29T19:37:13.397490+00:00,done,2026-08-29T19:37:33.915180+00:00,Existing curated salary research kept; zero-cost refresh not applied.
0c51a3dc5a15d0b7,2026-08-29T19:45:48.388892+00:00,done,2026-08-29T21:00:00+00:00,CHF 100k-125k gross base + bonus | target ~CHF 105k; open ~CHF 115k; floor ~CHF 100k
3fcf92e486ec222d,2026-08-29T20:59:43.804061+00:00,needs_review,2026-08-29T21:00:05.574281+00:00,EUR 45k-115k gross/year | target ~EUR 90k
1f5a3672580c3669,2026-08-29T21:11:37.731096+00:00,done,2026-08-29T21:11:58.254502+00:00,EUR 35k-50k gross/year | target ~EUR 40k
a491eef4c9e299b9,2026-08-29T21:25:43.599955+00:00,queued,,
