canonical_company_id,company,parent_company_id,aliases_entities,company_category,region,locations,archetype,why_test,career_url,source_strategy,rating,notes
apollo,Apollo Global Management,,Apollo; Apollo Global Management,Private Equity & Asset Management,Multi-region,Frankfurt; London; European offices,Alternatives / Private Equity / Credit,"High-upside exploration source across private equity, credit, infrastructure and portfolio analytics; seniority is role-specific.",https://www.apollo.com/careers,Global parent portal with business and location filters,Unrated,
kkr,KKR,,Kohlberg Kravis Roberts; KKR,Private Equity & Asset Management,Multi-region,Frankfurt; London; European offices,Private Equity / Infrastructure / Credit,"Top-tier alternatives platform for investment, portfolio, capital-markets and analytics roles.",https://www.kkr.com/careers,Global canonical portal; distinguish investing from client and operations roles,Unrated,
carlyle,Carlyle,,The Carlyle Group; Carlyle,Private Equity & Asset Management,Multi-region,London; European offices,Private Equity / Credit / Infrastructure,"Exploration candidate across investments, portfolio strategy, credit and infrastructure with experienced-hire possibilities.",https://www.carlyle.com/careers,Global group portal with office filters,Unrated,
blackstone,Blackstone,,The Blackstone Group; Blackstone,Private Equity & Asset Management,Multi-region,Frankfurt; London; European offices,Private Equity / Real Estate / Credit,High-upside investment platform; include fund strategy and analytics while treating pure deal roles as exploration.,https://www.blackstone.com/careers/,Global portal with business-unit filters,Unrated,
cvc,CVC,,CVC Capital Partners; CVC Credit,Private Equity & Asset Management,Multi-region,Frankfurt; London; Stockholm; European offices,Private Equity / Credit,"Strong European buyout and credit platform with potential investment, portfolio and analytical roles.",https://www.cvc.com/careers/,Canonical group portal with fund-strategy filters,Unrated,
eqt,EQT,,EQT Group; EQT Partners,Private Equity & Asset Management,Multi-region,Munich; Zurich; Stockholm; Copenhagen; London,Private Equity / Infrastructure / Growth,High-priority European and Nordic investment platform with strong target-city coverage.,https://eqtgroup.com/careers,Global parent portal with office and team filters,Unrated,
permira,Permira,,Permira Advisers; Permira Credit,Private Equity & Asset Management,Multi-region,Frankfurt; London; European offices,Private Equity / Credit,"Relevant European platform for investment, portfolio, credit and fund analytics roles.",https://www.permira.com/careers/,Global portal with office-level opportunities,Unrated,
advent-international,Advent International,,Advent; Advent International,Private Equity & Asset Management,Multi-region,Frankfurt; London; European offices,Private Equity,High-upside buyout platform with Frankfurt presence; investment-track seniority likely highly selective.,https://www.adventinternational.com/careers/,Global parent portal plus office-specific recruiting,Unrated,
cinven,Cinven,,Cinven Partners,Private Equity & Asset Management,Multi-region,Frankfurt; London,Private Equity,European buyout platform relevant for investment and portfolio roles; maintain as exploration even if entry path is narrow.,https://www.cinven.com/careers/,Single global firm with office recruiting,Unrated,
bc-partners,BC Partners,,BC Partners; BC Partners Credit,Private Equity & Asset Management,Multi-region,Hamburg; London,Private Equity / Credit,Relevant buyout and credit platform with German and London presence.,https://www.bcpartners.com/careers/,Global firm portal with strategy-level sources,Unrated,
