batch_id,display_order,opportunity_id,cohort,theme,seniority_band,selection_reason
corporate-calibration-01,1,fa544b05eea2a9a5,Boundary,Strategy / Consulting,Core professional,Boundary case to clarify preferences
corporate-calibration-01,2,f943b82aacd5a534,Boundary,Treasury / Risk / Markets,Junior / entry,Boundary case to clarify preferences
corporate-calibration-01,3,e3467df441d05819,Boundary,Data / Analytics,Unclear / other,Boundary case to clarify preferences
corporate-calibration-01,4,e20510aaa70aab9b,Boundary,Tax / Compliance,Senior leadership,Boundary case to clarify preferences
corporate-calibration-01,5,da0fb4654435f53b,Boundary,Transactions / M&A,Manager,Boundary case to clarify preferences
corporate-calibration-01,6,e317fd77c5c43823,Exploration,Accounting / Reporting,Unclear / other,Exploration case to avoid overfitting
corporate-calibration-01,7,d94c43426da90c98,Exploration,Other finance,Manager,Exploration case to avoid overfitting
corporate-calibration-01,8,7ba3d67f1143d484,Exploration,FP&A / Controlling,Core professional,Exploration case to avoid overfitting
corporate-calibration-01,9,c3a884085d410709,Exploration,Finance transformation,Senior leadership,Exploration case to avoid overfitting
corporate-calibration-01,10,7b316e6844864536,Exploration,Strategy / Consulting,Junior / entry,Exploration case to avoid overfitting
corporate-calibration-01,11,a493d006eb02db21,Exploration,ERP / Finance technology,Unclear / other,Exploration case to avoid overfitting
corporate-calibration-01,12,c57445208679d172,Exploration,Treasury / Risk / Markets,Core professional,Exploration case to avoid overfitting
corporate-calibration-01,13,0a7a7adb76df28ca,Exploration,Other finance,Senior leadership,Exploration case to avoid overfitting
corporate-calibration-01,14,9e4039584def5681,Exploration,FP&A / Controlling,Unclear / other,Exploration case to avoid overfitting
corporate-calibration-01,15,499a0d3021c47a24,Exploration,Transactions / M&A,Core professional,Exploration case to avoid overfitting
corporate-calibration-01,16,cb6b734e1fec7316,Exploration,Tax / Compliance,Manager,Exploration case to avoid overfitting
corporate-calibration-01,17,3a8bf00aa05c17e4,Exploration,Strategy / Consulting,Junior / entry,Exploration case to avoid overfitting
corporate-calibration-01,18,b690cd841c49df67,Exploration,Data / Analytics,Unclear / other,Exploration case to avoid overfitting
corporate-calibration-01,19,3e969d190229f73a,Exploration,Treasury / Risk / Markets,Core professional,Exploration case to avoid overfitting
corporate-calibration-01,20,16ea29eb9da76e7c,Exploration,Finance transformation,Senior leadership,Exploration case to avoid overfitting
