candidate_id,display_order,cohort,theme,selection_reason
consult-013,1,Likely fit,Private-capital consulting,"Direct test of commercial due diligence, M&A execution and post-deal value creation in London."
consult-014,2,Likely fit,Finance and risk,"Strong treasury, balance-sheet, liquidity, capital and strategic-finance content at a plausible experience range."
consult-005,3,Likely fit,Corporate finance and M&A,"Direct M&A, valuation, modelling and execution role; German fluency is the main constraint to test."
consult-006,4,Likely fit,Financial modelling,"Focused modelling across M&A, restructuring, private equity, business planning and project finance."
consult-003,5,Likely fit,Commercial due diligence,"Tests PE-oriented diligence and value-creation work at Senior Associate level."
consult-017,6,Likely fit,Corporate treasury,"Best pure treasury consulting match, with German-language feasibility requiring explicit feedback."
consult-019,7,Likely fit,CFO strategy,"Finance strategy and operating-model work without making ERP implementation the core of the role."
consult-024,8,Likely fit,M&A advisory,"Broad sell-side and buy-side corporate-finance role with a realistic experience range but demanding German."
consult-034,9,Likely fit,Restructuring,"Strong business-plan, financial-model, liquidity, working-capital and valuation content in an English-speaking market."
consult-028,10,Likely fit,Transaction and investor services,"Commercial due diligence and PE value creation at a stated 4-7 year level, with Amsterdam as geographic exploration."
consult-015,11,Boundary,Finance transformation,"Tests appetite for broader operating-model and cost transformation when finance is only part of the scope."
consult-021,12,Boundary,Planning and performance,"Relevant planning, reporting and analytics content offset by consolidation and accounting adjacency."
consult-030,13,Boundary,Asset-management consulting,"Strong sector relevance but specialized consulting content and C1 German may be material blockers."
consult-031,14,Boundary,Asset-management transformation,"Tests front-to-back asset-management transformation when technology and implementation are substantial."
consult-032,15,Boundary,Wealth-management transformation,"Relevant banking strategy and portfolio-advisory context with meaningful platform-delivery content."
consult-011,16,Boundary,Bank steering,"Treasury and profitability steering are relevant; regional-bank specialization and C1 German may make it too narrow."
consult-023,17,Exploration,Working capital,"Tests whether liquidity and working-capital improvement is attractive outside a pure finance practice."
consult-025,18,Exploration,Capital advisory reach,"High-interest debt advisory and capital-raising content at a potentially too-senior Vice President level."
consult-010,19,Exploration,Mobility transactions,"Tests whether strong diligence and value-creation work overcomes sector specificity and Project Manager seniority."
consult-035,20,Exploration,Data and AI consulting,"Deliberate boundary test for commercial data and AI work that may be too technical for the core finance target."
