opportunity_id,canonical_company_id,company,title,countries,cities,source_url,status,role_family,fit_tier,language_risk,seniority_signal,description_display,fit_note,research_source,checked_at
active-pe-ch-001,partners-group,Partners Group,Junior Asset Class Analyst,Switzerland,Baar/Zug,https://jobs.partnersgroup.com/job/Baar-Junior-Asset-Class-Analyst/1368649533/,Open,Private Equity & Private Markets,Core,Low — English listed; no French requirement found,Junior / 1–2 years,Supports asset-class analysis and investment-related work within a major private-markets platform,Core PE-private-markets target; official Partners Group vacancy from existing G research,Official employer ATS,2026-09-02
active-pe-ch-002,swiss-re,Swiss Re,Investment Analyst — Private Debt,Switzerland,Zurich,https://corporatesolutions.swissre.com/careers/job/Investment-Analyst-Private-Debt/1398889733,Open,Private Equity & Private Markets,Core,Review — English source; confirm German in application,Analyst,Supports and shapes the Private Debt asset class and investment analysis,Core private-debt investment role; official Swiss Re careers page,Official employer careers,2026-09-02
active-pe-ch-003,stepstone-group,StepStone Group,Analyst — Evergreen Portfolio Management — Private Debt,Switzerland,Zurich,https://www.bb-jobportal.com/de/jobs/analyst-evergreen-portfolio-management-private-debt-m-f-x,Open,Private Equity & Private Markets,Core,Low/Review — English role; verify local-language wording,Analyst,Portfolio management; market research and performance analysis for evergreen private-debt funds,Core private-debt role; public listing mirrors vacancy and needs ATS confirmation,Public job listing / employer lead,2026-09-02
active-pe-ch-004,muzinich-co,Muzinich & Co,Analyst — Private Debt,Switzerland,Zurich,https://www.linkedin.com/jobs/search/?keywords=Analyst%20Private%20Debt%20Muzinich%20Zurich,Open,Private Equity & Private Markets,Core,Review — German in title; requirement not confirmed,Analyst,Analyst role in private debt investment team in Zurich,Core private-debt lead surfaced in current LinkedIn results; direct employer page needs verification,LinkedIn public job lead,2026-09-02
active-pe-ch-005,patrimonium,Patrimonium,Investment Analyst — Private Credit,Switzerland,Zurich,https://www.patrimonium.ch/careers,Open,Private Equity & Private Markets,Core,Low/Review — English likely; confirm German/French,Analyst,Private-credit investment analysis within a Swiss private-markets manager,Core private-credit role listed on Patrimonium careers; careers page is functional source,Official employer careers,2026-09-02
active-pe-ch-006,splint-invest,Splint Invest,Lead Investment Analyst — Alternative Investments,Switzerland,Bern,https://www.glassdoor.co.uk/Job/switzerland-investment-analyst-jobs-SRCH_IL.0%2C11_IN226_KO12%2C30.htm,Open,Private Equity & Private Markets,Review lead,Review — language requirement unclear,Lead / seniority unclear,Alternative-investment analysis and portfolio monitoring,Relevant investment mandate but Lead may be above intended level; review manually,Public job listing lead,2026-09-02
active-pe-ch-007,ubs,UBS Group,ETF & Index Fund Investment Analyst,Switzerland,Zurich,https://www.ubs.com/global/en/careers/professional-careers/investment-bank.html,Open,Public Markets & Asset Management,Adjacent,Low — fluent English listed; German/Italian/French advantageous only,Analyst,Investment analysis and presentation of findings in an asset-management environment,Adjacent investment-analyst role; not PE but tests optional-language handling,Official employer careers / public listing,2026-09-02
active-pe-ch-008,g20-group,G-20 Group,Research Analyst,Switzerland,Zurich,https://www.linkedin.com/jobs/search/?keywords=Research%20Analyst%20G-20%20Zurich,Open,Public Markets & Asset Management,Adjacent,Review — language requirement unclear,Analyst,Company and industry research to support an investment process,Adjacent public-markets research role; not a PE match,LinkedIn public job lead,2026-09-02
active-pe-ch-009,michael-page,Michael Page,Junior Investment Analyst — Investment Support,Switzerland,Geneva,https://www.michaelpage.ch/jobs/investment/geneva,Open,Private Equity & Private Markets,Adjacent,Review — French/Geneva requirement must be checked,Junior analyst,Portfolio reporting; data quality and gradual expansion into investment analysis,Recruiter lead with investment-support content; likely language and location risk,Recruiter careers listing,2026-09-02
active-pe-ch-010,blackrock,BlackRock,Investment Analyst — Switzerland search lead,Switzerland,Zurich,https://www.blackrock.com/corporate/en-us/careers,Open,Public Markets & Asset Management,Review lead,Review — exact vacancy and language to verify,Analyst lead,Investment and portfolio-analysis lead found through current Switzerland investment search,Search lead only; retained to test incomplete-evidence handling,Official employer careers search,2026-09-02
active-pe-ch-011,deloitte,Deloitte,Senior Consultant — Tech M&A Advisory,Switzerland,Zurich,https://apply.deloitte.ch/CHCareers/JobDetail/Senior-Consultant-Tech-M-A-Advisory/24035,Open,Investment Banking,Adjacent,Review — local-language requirement needs confirmation,Senior Consultant,Transaction analysis and M&A advisory work for technology clients,Adjacent transaction role; materially closer to M&A thesis than generic finance,Official Deloitte ATS,2026-09-02
active-pe-ch-012,deloitte,Deloitte,Senior Consultant — Valuation and Modelling,Switzerland,Geneva / Zurich,https://apply.deloitte.ch/CHCareers/JobDetail/Senior-Consultant-Valuation-and-Modelling/21736,Open,Valuation,Adjacent,Review — local-language requirement needs confirmation,Senior Consultant,Valuation and financial modelling supporting transactions and investment decisions,Adjacent valuation role with direct modelling relevance,Official Deloitte ATS,2026-09-02
active-pe-ch-013,ey,EY,(Senior) Consultant — EY-Parthenon Financial Services M&A Advisory,Switzerland,Zurich,https://careers.ey.com/ey/job/Zurich-%28Senior%29-Consultant-EY-Parthenon%2C-Financial-Services-M%26A-Advisory-8005/1415629233/,Open,Investment Banking,Adjacent,Review — German/English requirement needs confirmation,Consultant / Senior Consultant,Financial-services M&A advisory and transaction analysis,Adjacent transaction role; seniority is bounded below by Consultant and excludes Manager,Official EY ATS,2026-09-02
active-pe-ch-014,deloitte,Deloitte,Senior Consultant — Restructuring and Performance Improvement,Switzerland,Zurich,https://apply.deloitte.ch/CHCareers/JobDetail/Senior-Consultant-Restructuring-and-Performance-Improvement/24193,Open,Corporate Finance,Adjacent,Review — local-language requirement needs confirmation,Senior Consultant,Restructuring; performance improvement and financial analysis in transaction situations,Adjacent corporate-finance and distress lane,Official Deloitte ATS,2026-09-02
active-pe-ch-015,deloitte,Deloitte,Senior Consultant — Treasury Advisory,Switzerland,Basel / Geneva / Zurich,https://apply.deloitte.ch/CHCareers/JobDetail/Senior-Consultant-Treasury-Advisory/19135,Open,Treasury,Review lead,Review — local-language requirement needs confirmation,Senior Consultant,Treasury; liquidity and risk advisory for financial-services clients,Relevant finance lane but weaker PE fit; controlled boundary case,Official Deloitte ATS,2026-09-02
active-pe-ch-016,ey,EY,Senior Consultant — Finance Optimization FAAS,Switzerland,Zurich,https://careers.ey.com/ey/job/Zurich-Senior-Consultant-Finance-Optimization-%28FAAS%29-8005/1365332233/,Open,Corporate Finance,Review lead,Review — local-language requirement needs confirmation,Senior Consultant,Finance optimisation and advisory work with senior finance stakeholders,Boundary case for finance-advisory relevance; not direct investment,Official EY ATS,2026-09-02
active-pe-ch-017,ey,EY,(Senior) Consultant — Business Consulting Finance,Switzerland,Zurich,https://careers.ey.com/ey/job/Zurich-%28Senior%29-Consultant-Business-Consulting-Finance-8005/1112895701/,Open,Corporate Finance,Review lead,Review — local-language requirement needs confirmation,Consultant / Senior Consultant,Finance consulting and transformation work,Boundary case; tests that generic finance consulting is downranked,Official EY ATS,2026-09-02
