"opportunity_id",fit,"reasoning","generated_at"
"stepstone-de_14377262","Strong","Strong — the day-to-day core is hands-on financial-risk measurement and hedging plus liquidity, cash-pooling and financing execution; a second pass confirms these are primary responsibilities rather than incidental reporting.",2026-09-17T16:00:00Z
"sparkasse-hannover_100201P320",Moderate,"Moderate — portfolio and market analysis are relevant, but clients retain investment decisions and the recurring core is private-banking advice and relationship development rather than direct portfolio ownership.",2026-09-17T16:00:00Z
ergo_ERGO02390,"Strong","Strong — valuation, transaction work, investment performance monitoring and portfolio-company value creation form the core; a second pass confirms governance work does not displace the substantive deal and investment responsibilities.",2026-09-17T16:00:00Z
"stepstone-de_14286688",Moderate,"Moderate — it offers real portfolio performance ownership and value creation, but the investment mandate is specialised real-estate asset management rather than the broader securities or transaction focus of the strongest targets.",2026-09-17T16:00:00Z
jobs-ch_ca313adb-55e3-445d-8608-9e528c9f55b9,Moderate,"Moderate — investment, profitability and decision-support analysis are useful, but the recurring centre of gravity is production cost controlling, budgeting and operational reporting.",2026-09-17T16:00:00Z
jobs-ch_60c25acc-b352-4ef8-bbe7-cc15fa5a363e,Weak,"Weak — despite strategic analysis and investment business cases, this is a 10+ year Finance Director/VP-level leadership mandate dominated by multi-site operational finance, controlling and team ownership, materially beyond the target seniority.",2026-09-17T16:00:00Z
jobs-ch_9932c905-0d4a-4fe6-817a-2380ef62998b,Weak,"Weak — the role is finance-transformation delivery centred on consolidation systems, regulatory reporting and platform configuration rather than treasury, markets, transactions, valuation or investment decisions.",2026-09-17T16:00:00Z
jobs-ch_4f82cd53-026a-4643-876a-bc72c381db99,Moderate,"Moderate — hands-on liquidity planning and building a subsidiary treasury are relevant, but accounting, closes, payroll support and broad finance operations remain the larger recurring workload.",2026-09-17T16:00:00Z
jobs-ch_3a955ddc-2622-4dd3-86f8-78f0f4a58df2,Moderate,"Moderate — valuation, deal structuring and occasional M&A are relevant, but the main workload is family and employee succession consulting with tax, pension and planning work rather than repeated external transaction execution.",2026-09-17T16:00:00Z
"indeed-se_547b110e4ddf0772",Moderate,"Moderate — strategic analysis, valuation exposure and CFO decision support are relevant, but the defined recurring work remains broad forecasting, performance analysis and presentation support rather than transaction or treasury execution.",2026-09-17T16:00:00Z
"efinancialcareers_24353097","Strong","Strong — investment sourcing, due diligence, underwriting materials and performance monitoring span the private-asset investment cycle; a second pass confirms direct investment judgment is central rather than an operations overlay.",2026-09-17T16:00:00Z
"efinancialcareers_24605339",Moderate,"Moderate — it offers analytical exposure within private banking, but the recurring mandate is performance, initiative and cost management rather than markets, investment selection, deals or financial-risk execution.",2026-09-17T16:00:00Z
"efinancialcareers_24782950","Strong","Strong — the work sits directly in institutional rates markets with pricing and transaction execution across derivatives and bonds; a second pass confirms the internship label does not dilute the target day-to-day content.",2026-09-17T16:00:00Z
"indeed-se_71d39f86eb681010",Moderate,"Moderate — senior-management analysis and planning are relevant, but the centre of gravity is conventional group controlling, KPI development and budgeting rather than transactions, investments or treasury.",2026-09-17T16:00:00Z
"indeed-se_e17d74324d93106f",Moderate,"Moderate — investment and M&A impact analysis add useful strategic exposure, but the recurring core is senior business-area FP&A, consolidation and performance reporting rather than deal execution.",2026-09-17T16:00:00Z
"indeed-no_657f680a4537956f","Strong","Strong — company analysis, financial modelling and equity-research production are the actual daily work; a second pass confirms the part-time student format affects attainability, not the strong semantic match.",2026-09-17T16:00:00Z
"indeed-de_5a78e40af59ac121","Strong","Strong — financial-institutions corporate-banking analysis and transaction preparation are core target activities; a second pass confirms the role is substantive deal and coverage work rather than generic administration.",2026-09-17T16:00:00Z
"indeed-se_d171b11bc6c2a6f1",Moderate,"Moderate — liquidity and funding monitoring are relevant treasury content, but the title and task mix indicate a substantial recurring regulatory-data and reporting component rather than primary balance-sheet or market-risk ownership.",2026-09-17T16:00:00Z
