candidate_id,display_order,cohort,theme,selection_reason
pe-001,1,Likely fit,Portfolio value creation,"Direct PE portfolio role with 3-5 year requirement and limited client-sales emphasis."
pe-003,2,Likely fit,Private-markets risk,"Tests quantitative risk and scenario work inside a private-markets platform."
pe-009,3,Likely fit,PE secondaries,"Strong transaction and modelling role at a plausible 2-4 year level."
pe-020,4,Likely fit,Finance transformation,"Strong restructuring and portfolio-finance overlap; tests the German-language constraint."
pe-016,5,Likely fit,Credit investing,"Tests whether analytical credit investing is attractive despite the VP title."
pe-011,6,Likely fit,Infrastructure investing,"Distinct investment theme with valuation and due-diligence work."
pe-012,7,Likely fit,Asset management,"Combines budgets, IRR forecasting, refinancing and exits at a plausible level."
pe-006,8,Boundary,Fund finance,"Relevant PE finance and valuation work in Frankfurt but German and junior-level signals matter."
pe-017,9,Boundary,Treasury,"Excellent functional fit but likely above target experience; useful reach calibration."
pe-004,10,Boundary,Fund control and automation,"Tests tolerance for accounting-heavy work when paired with analytics and Python automation."
pe-021,11,Boundary,Direct investing,"Strong M&A fit and plausible experience, offset by business-fluent German requirement."
pe-018,12,Boundary,Fund finance,"Relevant liquidity, hedging and valuation work; accounting qualification may be a blocker."
pe-014,13,Boundary,Fund operations,"Tests interest in operational private-markets work rather than direct investing."
pe-022,14,Boundary,Finance integration,"Tests acquisition integration and reporting work with German and accounting intensity."
pe-002,15,Boundary,Infrastructure analytics,"Slightly junior but unusually relevant combination of analytics and private infrastructure."
pe-010,16,Exploration,Real-estate secondaries,"Explores adjacent real-estate investment work at analyst level."
pe-013,17,Exploration,Thematic investing,"Tests appetite for an unusual sports and media investment vertical."
pe-015,18,Exploration,Product and investor relations,"Useful negative or positive signal on client-facing investor-relations content."
pe-023,19,Exploration,Group finance and portfolio management,"Tests appetite for senior group finance inside a PE-owned portfolio environment."
pe-024,20,Exploration,Senior direct investing,"High-seniority reach case to distinguish role interest from realistic accessibility."
