canonical_company_id,company,parent_company_id,aliases_entities,company_category,region,locations,archetype,why_test,career_url,source_strategy,rating,notes
grant-thornton,Grant Thornton,,Grant Thornton International,Consulting,Multi-region,Prague; Germany; Vienna; Zurich; Nordics; London,Deals / Financial Advisory,"Useful mid-market route into transactions, valuation, restructuring and CFO advisory with accessible local networks.",https://www.grantthornton.global/en/careers/,Global network plus member-firm career pages; dedupe by role and location,Unrated,
bdo,BDO,,BDO Global; BDO Advisory,Consulting,Multi-region,Prague; Germany; Vienna; Zurich; Nordics; London,Deals / Advisory,"Relevant for transaction services, valuation, restructuring and finance transformation outside the largest advisory networks.",https://www.bdo.global/en-gb/careers,Global network with local member-firm portals,Unrated,
forvis-mazars,Forvis Mazars,,Mazars; Forvis Mazars,Consulting,Multi-region,Prague; Germany; Vienna; Zurich; Nordics; London,Financial Advisory / Deals,Mid-market corporate-finance and advisory platform with broad target-country coverage.,https://www.forvismazars.com/group/en/join-us,Global parent plus national career sources,Unrated,
rsm,RSM,,RSM International; RSM Advisory,Consulting,Multi-region,Prague; Germany; Vienna; Zurich; Nordics; London,Financial Advisory / Consulting,"Exploration candidate for deals, valuation, restructuring and CFO advisory with local-market variation.",https://www.rsm.global/careers,Network portal plus country member firms,Unrated,
protiviti,Protiviti,,Protiviti,Consulting,Multi-region,Frankfurt; Munich; Zurich; London,Risk / Finance Transformation,"Strong adjacency to internal finance, risk, treasury, controls, data and transformation roles.",https://www.protiviti.com/gl-en/careers,Global portal with regional vacancy filters,Unrated,
sia-partners,Sia Partners,,Sia Partners,Consulting,Multi-region,Frankfurt; Munich; Zurich; Amsterdam; Nordics; London,Strategy / Data / Financial Services,"Relevant for banking, energy, data and transformation; assess client intensity and local language per role.",https://www.sia-partners.com/en/careers,Global portal with office and practice filters,Unrated,
pa-consulting,PA Consulting,,PA Consulting,Consulting,Multi-region,Stockholm; Copenhagen; Oslo; London; European projects,Strategy / Technology / Transformation,"Good exploration candidate for strategy, innovation, energy and data-led transformation.",https://www.paconsulting.com/careers,Global employer portal with location filters,Unrated,
capgemini-invent,Capgemini Invent,capgemini,Capgemini Invent; Capgemini Consulting,Consulting,Multi-region,Prague; Germany; Vienna; Zurich; Nordics; London,Strategy / Finance Transformation,"Broad route into finance, data and transformation; prioritize analytical and strategy roles over implementation-heavy tracks.",https://www.capgemini.com/careers/,Capgemini parent portal; identify Invent business unit and dedupe cross-postings,Unrated,
ibm-consulting,IBM Consulting,ibm,IBM Consulting; IBM Global Business Services,Consulting,Multi-region,Prague; Germany; Vienna; Zurich; Nordics; London,Data / Finance Transformation,"Exploration bucket for analytics, AI, banking and finance transformation with substantial role variation.",https://www.ibm.com/careers/search,Global IBM portal with business-unit and location filters,Unrated,
cgi,CGI,,CGI Consulting,Consulting,Multi-region,Prague; Germany; Nordics; London,Business / Technology Consulting,"Potential fit in banking, government, energy and data programmes; penalize implementation-only roles.",https://www.cgi.com/en/careers,Global parent with country portals,Unrated,
infosys-consulting,Infosys Consulting,infosys,Infosys Consulting; Infosys,Consulting,Multi-region,Germany; Switzerland; Nordics; London,Business / Finance Transformation,"Exploration candidate for finance, data and banking transformation; screen carefully for delivery and sales content.",https://career.infosys.com/,Parent ATS with consulting practice filters,Unrated,
tcs-consulting,Tata Consultancy Services,,TCS; TCS Consulting,Consulting,Multi-region,Prague; Germany; Switzerland; Nordics; London,Technology / Finance Transformation,"Broad source for banking, analytics and finance transformation; role quality and client-facing intensity vary widely.",https://www.tcs.com/careers,Global parent portal with country sources,Unrated,
cognizant,Cognizant,,Cognizant Consulting,Consulting,Multi-region,Prague; Germany; Switzerland; Nordics; London,Data / Financial Services Transformation,"Useful exploration source for banking, markets, analytics and transformation roles.",https://careers.cognizant.com/global-en/,Global portal with geography and capability filters,Unrated,
occ-strategy,OC&C Strategy Consultants,,OC&C,Consulting,Multi-region,Munich; Hamburg; London,Strategy Consulting,Focused strategy platform with corporate and private-equity diligence work; narrower geography but strong analytical fit.,https://www.occstrategy.com/en/careers/,Single global firm with office-level recruiting,Unrated,
implement-consulting,Implement Consulting Group,,Implement Consulting Group,Consulting,Nordics,Copenhagen; Stockholm; Oslo; Zurich; Munich; Hamburg,Strategy / Transformation,Nordic-oriented strategy and transformation firm with potentially attractive culture and finance-related practices.,https://implementconsultinggroup.com/career,Single parent portal with office filters,Unrated,
valcon,Valcon,,Valcon Consulting,Consulting,Multi-region,Copenhagen; Stockholm; Oslo; London; European offices,Data / Transformation Consulting,"Exploration candidate for data, strategy and operating-model work with Nordic footprint.",https://valcon.com/careers/,Global portal with local vacancies,Unrated,
