canonical_company_id,company,parent_company_id,aliases_entities,company_category,region,locations,archetype,why_test,career_url,source_strategy,rating,notes
deutsche-bank,Deutsche Bank,,Deutsche Bank; DWS excluded as separate canonical employer,Banking & Financial Services,Germany,Frankfurt; Berlin; London; Zurich,Banking / Markets / Corporate Finance,"Direct source for markets, treasury, risk, corporate finance and data roles at multiple seniority levels.",https://careers.db.com/,Global portal with business and location filters; keep DWS roles separate,Unrated,
commerzbank,Commerzbank,,Commerzbank; CommerzVentures,Banking & Financial Services,Germany,Frankfurt; Berlin; Hamburg; London,Banking / Treasury / Risk,"Strong German banking source for treasury, risk, markets, corporate finance and analytics; language varies by team.",https://www.commerzbank.de/group/careers/,Group portal with country and subsidiary sources,Unrated,
dz-bank,DZ BANK,,DZ Bank Group; DZ BANK,Banking & Financial Services,Germany,Frankfurt; Germany,Banking / Treasury / Markets,"Relevant for treasury, capital markets, risk, corporate finance and group-level analytics.",https://karriere.dzbank.de/,Group portal; link cooperative subsidiaries under parent where appropriate,Unrated,
kfw,KfW Group,,KfW; KfW IPEX-Bank; DEG,Banking & Financial Services,Germany,Frankfurt; Berlin; Bonn; Cologne,Development Banking / Project Finance,"Strong fit for project finance, infrastructure, energy, risk, treasury and economic analysis; German often required.",https://www.kfw.de/About-KfW/Career/,Group portal with KfW IPEX and DEG child entities,Unrated,
helaba,Helaba,,Landesbank Hessen-Thüringen; Helaba,Banking & Financial Services,Germany,Frankfurt; London,Banking / Treasury / Real Estate Finance,"Relevant for treasury, risk, capital markets, real-estate finance and analytical corporate-banking roles.",https://www.helaba.com/int/career/,Single group portal with international roles,Unrated,
lbbw,LBBW,,Landesbank Baden-Württemberg; LBBW,Banking & Financial Services,Germany,Stuttgart; Frankfurt; Munich; London,Banking / Markets / Corporate Finance,"Useful source for markets, treasury, project finance, M&A and risk with strong German corporate exposure.",https://www.lbbw.de/career,Group career portal with business-area filters,Unrated,
bayernlb,BayernLB,,Bayerische Landesbank; BayernLB,Banking & Financial Services,Germany,Munich; London,Banking / Treasury / Structured Finance,"Munich-focused source for treasury, markets, risk, infrastructure and structured-finance roles.",https://www.bayernlb.com/internet/en/blb/resp/career/career.jsp,Group portal with location filters,Unrated,
ing,ING Group,,ING; ING-DiBa; ING Wholesale Banking,Banking & Financial Services,Multi-region,Frankfurt; Vienna; Zurich; Nordics; London,Banking / Treasury / Data,"Broad international source for treasury, risk, markets, corporate finance and data roles in English-speaking teams.",https://careers.ing.com/,Global parent ATS with country and business filters,Unrated,
unicredit,UniCredit,,UniCredit; HypoVereinsbank; HVB; Bank Austria,Banking & Financial Services,Multi-region,Munich; Vienna; Prague coverage; London,Banking / Corporate Finance / Markets,"High-value canonical group covering HVB and Bank Austria roles across corporate finance, markets, treasury and risk.",https://careers.unicredit.eu/,One group portal; dedupe HVB and Bank Austria local postings,Unrated,
eex,EEX Group,deutsche-boerse,EEX; European Energy Exchange; EPEX SPOT,Banking & Financial Services,Germany,Leipzig; Berlin; London; Paris,Energy Exchange / Markets,"Direct fit for energy markets, trading analytics, market operations, risk and product strategy.",https://www.eex-group.com/en/career,Child source under Deutsche Börse group; preserve EEX requisition IDs,Unrated,
bawag,BAWAG Group,,BAWAG; easybank,Banking & Financial Services,Austria,Vienna,Banking / Treasury / Risk,"Vienna-based source for treasury, risk, FP&A, corporate development and banking analytics.",https://www.bawaggroup.com/BAWAGGROUP/Career,Group portal with brand-level sources,Unrated,
oekb,OeKB Group,,Oesterreichische Kontrollbank; OeKB,Banking & Financial Services,Austria,Vienna,Export / Development Finance,"Strong Vienna niche for export finance, capital markets, risk, sustainability and public-purpose finance.",https://www.oekb.at/en/oekb-group/career.html,Single group career page with subsidiary links,Unrated,
vienna-insurance-group,Vienna Insurance Group,,VIG; Vienna Insurance Group; Wiener Städtische,Banking & Financial Services,Austria,Vienna; Prague; CEE,Insurance / Investments / Group Finance,"Relevant for group finance, investments, risk, M&A and CEE portfolio work.",https://group.vig/career/,Canonical group with local insurer career sources,Unrated,
uniqa,UNIQA Insurance Group,,UNIQA; UNIQA Group,Banking & Financial Services,Austria,Vienna; Prague; CEE,Insurance / Investments / Finance,"Vienna-centered source for investments, risk, FP&A, treasury and corporate development.",https://www.uniqagroup.com/gruppe/versicherung/uniqa-group/career.en.html,Group portal with national entity sources,Unrated,
julius-baer,Julius Baer,,Bank Julius Baer; Julius Baer Group,Banking & Financial Services,Switzerland,Zurich; London,Private Banking / Investments,"Good fit for investment, product, risk, treasury and analytics roles; penalize relationship-manager tracks.",https://www.juliusbaer.com/international/en/careers/,Global group portal with location filters,Unrated,
pictet,Pictet Group,,Pictet; Pictet Asset Management,Banking & Financial Services,Switzerland,Geneva; Zurich; London,Private Banking / Asset Management,"Strong investment and analytics hypothesis across asset management, research, risk and strategy.",https://www.group.pictet/careers,Canonical group with business-line filters,Unrated,
lombard-odier,Lombard Odier,,Lombard Odier Group,Banking & Financial Services,Switzerland,Geneva; Zurich; London,Private Banking / Asset Management,"Relevant for investments, research, risk, data and sustainability; avoid relationship-led roles.",https://careers.lombardodier.com/,Single global ATS with office filters,Unrated,
zurich-insurance,Zurich Insurance Group,,Zurich Insurance; Zurich Group,Banking & Financial Services,Switzerland,Zurich; London; European offices,Insurance / Investments / Group Finance,"Broad source for investments, risk, treasury, finance transformation and data roles.",https://www.zurich.com/careers,Global parent portal with country filters,Unrated,
swiss-life,Swiss Life Group,,Swiss Life; Swiss Life Asset Managers,Banking & Financial Services,Switzerland,Zurich; Frankfurt; Munich; London,Insurance / Asset Management / Finance,"Relevant for asset management, investments, risk, corporate finance and group controlling.",https://www.swisslife.com/en/home/career.html,Group portal with asset-management and local sources,Unrated,
zkb,Zürcher Kantonalbank,,ZKB; Zürcher Kantonalbank,Banking & Financial Services,Switzerland,Zurich,Banking / Markets / Asset Management,"Zurich-focused source for markets, asset management, treasury, risk and analytics; German likely important.",https://www.zkb.ch/en/home/career.html,Single bank portal with business-area filters,Unrated,
swedbank,Swedbank,,Swedbank Group,Banking & Financial Services,Nordics,Stockholm; Tallinn; Riga; Vilnius,Banking / Risk / Data,"Nordic and Baltic source for banking analytics, treasury, risk, investments and data roles.",https://jobs.swedbank.com/,Group ATS with country and function filters,Unrated,
handelsbanken,Handelsbanken,,Svenska Handelsbanken; Handelsbanken,Banking & Financial Services,Nordics,Stockholm; Copenhagen; Oslo; Helsinki; London,Banking / Markets / Risk,"Relevant Nordic bank for markets, risk, treasury, asset management and analytical head-office roles.",https://www.handelsbanken.com/en/about-the-group/career,Group page linking local recruitment sources,Unrated,
dnb,DNB Group,,DNB; DNB Markets; DNB Asset Management,Banking & Financial Services,Nordics,Oslo; Stockholm; London,Banking / Markets / Asset Management,"High-fit Nordic source for markets, energy finance, risk, investments, treasury and data.",https://www.dnb.no/en/about-us/careers,Canonical group with business-unit job sources,Unrated,
op-financial,OP Financial Group,,OP Group; OP Financial Group,Banking & Financial Services,Nordics,Helsinki; Finland,Banking / Insurance / Asset Management,"Finland-focused source for investments, risk, treasury, finance and data roles.",https://www.op-careers.fi/,Group ATS with role-family filters,Unrated,
sampo,Sampo Group,,Sampo; If P&C Insurance; Topdanmark,Banking & Financial Services,Nordics,Helsinki; Stockholm; Copenhagen,Insurance Holding / Investments,"Relevant for group investments, capital allocation, risk, corporate finance and Nordic portfolio-company roles.",https://www.sampo.com/careers/,Canonical group plus operating-company sources,Unrated,
storebrand,Storebrand,,Storebrand Group; Storebrand Asset Management,Banking & Financial Services,Nordics,Oslo; Stockholm,Insurance / Asset Management,"Strong Nordic fit for sustainable investment, asset management, risk, treasury and analytics.",https://www.storebrand.com/sam/no/asset-management/careers,Group and asset-management portals under one parent,Unrated,
